S. No.,Name of Company,No. Of Offers,CTC
1,4POINTER,1,2.5
2,ABHI ALLIED SERVICES,1,5.3
3,ACCENTURE,77,4.5
4,ACURA,1,2.5
5,ACURASOLUTION,1,3.2
6,ADDVERB,12,3
7,ADOBE,1,10
8,ADSEVER,3,6
9,AIRTEL,1,15
10,ALGODOM MEDIA,1,4.5
11,ALOHA TECH,4,3
12,AMAZON,1,45.25
13,APPONWARD,1,3
14,APTARA,2,3.6
15,AVISSOL,1,5.5
16,AXTRIA ANALYST,9,24
17,BIG BRICK INDIA,1,2.5
18,BIGOH,4,5
19,BIZTECNO,2,4.5
20,BONAMI,2,4.5
21,BRAND.ORG,3,3.6
22,BRIGHT MONEY,1,20
23,BRIGHTLY,1,6
24,BUDDY 4 STUDY,2,3.6
25,BYJUS,3,6
26,BYJUS GRADEUP,2,7
27,CAREERNET HIREPRO,1,3
28,CAVISSION,7,4.5
29,CERTY BOX,6,3.6
30,CLASS PLUS,1,8.5
31,CLEAR WATER,2,4
32,COLT,1,3.6
33,CONDUENT,4,4.8
34,CONTINUM GLOBAL,1,4
35,COSMO,1,3.5
36,CSB BANK,1,3
37,CSG,3,4
38,DESIGN O WEB,1,4
39,DMI FINANCE,2,6
40,DOLLPA PEE,1,13
41,E2LOGY SOFTWARE,1,2.5
42,EMERSON,4,4.4
43,EPAM,3,6
44,ESPOIR,13,4.08
45,ETA ENGINEERING,8,3.23
46,EXIGER,1,4.25
47,GA MORGAN,2,5
48,GEBR.PFEIFFER,1,5
49,GKP,1,2.5
50,GLOBAL LOGIC,17,5.5
51,GO DIGIT,1,7
52,GRADEUP,4,8
53,GRADEUP BYJUS,1,7
54,GRAPECITY,1,4
55,HASHEDIN DELOITTE,3,8.1
56,HCL,63,4.25
57,HEADOUT,1,18
58,HIREPRO,1,3
59,HONDA,4,6
60,ICICI,5,2.7
61,IFFCO TOKIO,3,8
62,IFR SOLUTIONS,1,3
63,INDIA MART,18,7.5
64,INDIA TODAY,4,7
65,INDIA TODAY GROUP,1,5
66,INFOEDGE,2,7.5
67,INNOAGE,3,4
68,INNOVACCER,1,12
69,INSTA ASTRO,1,2.5
70,ION,3,14.1
71,IPEC,1,6
72,ISGEC,9,6.14
73,ITC,15,4.25
74,JIO,1,4
75,JOHN DEERE,1,4.5
76,JOSH TECH,3,8
77,JUBLIANT,3,11
78,JUGGERNAUT AI,1,3.6
79,JUSPAY,2,21
80,JUSPAY,1,27
81,KNOCIAL,27,4.2
82,KRONOS,10,15
83,LEGATO,7,5.87
84,LEVER AGEEDU,2,3.6
85,LG SOFT,5,4.8
86,LIBSYS,1,5
87,LINE FINANCIALMAGIC ED TECH,1,12
88,LUCENTMARCONS,1,7.5
89,MADMAN,1,4.5
90,MAGIC ED TECH,4,9
91,MAGNITUDE SOFT,1,8.6
92,MOUNT TALENT,3,2.5
93,NAGARRO,7,6
94,NAVYUG,8,6
95,NEOSOFT,3,3.6
96,NEWGEN,24,4.5
97,NEXT VENTURE PENTAIR,2,9.3
98,NIRMATA TECH INDIA,1,7.2
99,PARK VIEW,1,4
100,PAXCOM,1,9
101,PAYTAIL,6,11
102,PAYTM,17,7
103,PERSOLKELLY,1,4.8
104,PHRONESIS PARTNERS,3,3.5
105,PRACTO,8,4.5
106,PRIYAM TECH,1,7
107,PROCMART,8,3.5
108,PRODAT IT,1,57.32
109,RACHNAYE,1,5
110,RD CONCRETE,1,3.36
111,REVATURE,1,6
112,RORO,3,6
113,RORO,1,8
114,RX LOGIX,11,4.5
115,S&B,3,4.5
116,SAMSUNG,4,7.3
117,SHERYL STRATEGIC SOLUTIONS,1,3
118,SKILL VERTEX,8,6
119,SSSG,5,11
120,STEM ROBO,2,4
121,STEP 2 GEN,1,3.6
122,SYMB TECH,2,4
123,TALLENT SERVE,6,12
124,TALLENT TOPPERS,1,4
125,TCS,5,3.3
126,TCS NINJA,68,3.3
127,TECH PROVIDER,9,3
128,TESTBOOK EDU,1,7
129,TORRENT GAS,1,3.25
130,TORRENT POWER,2,3.25
131,TRAQIQ,3,4.2
132,TRAVCLAN,1,7.25
133,TSYS,8,9.5
134,UNTHINKABLE,14,5.5
135,UPGRAD,14,7.5
136,WFX,4,4
137,WILEY MTHREE,4,7
138,WIPRO,137,3.5
139,ZIA SEMICONDUCTOR,11,5
140,ZOMATO,1,40